"test_name_clean","avg_time","avg_power","efficiency"
"CP",0.0232399999999959,0.353,15.1893287435483
"RCIT",0.0488549999999814,0.368,7.53249411524184
"LinearMMD",0.0128850000000022,0.071,5.51028327512515
"CV-LinearMMD",0.0249999999999966,0.097,3.88000000000053
"GCM",0.0807000000000049,0.265,3.28376703841368
"PCM",0.120394999999976,0.3935,3.26840815648555
"CV-CLF",0.0345950000000098,0.0705,2.03786674374852
"CLF",0.0175349999999999,0.0295,1.68234958654122
"debiased",1.35726999999999,0.394,0.290288594015931
"WGSC",7.59987500000003,0.048,0.00631589335350908
