n,h_label,estimator,mse_g12,mse_g22,mse_v12,mse_v22
200,Null,LL,0.482828137209627,0.485910608629618,0.0116544469189425,0.0110481437854936
200,Null,KLR,0.250236997940678,0.250096981547321,0.000347603961587434,0.000361662422225548
200,Alternative,LL,0.45856367114328,0.458326461818736,0.0895534329062432,0.0892940758750535
200,Alternative,KLR,0.250227251506384,0.249937824299936,0.0763752931206845,0.0752127561789022
400,Null,LL,0.341465465381866,0.341113441657786,0.00584893257219384,0.00581258195731795
400,Null,KLR,0.250191670489868,0.2499635035494,0.00016335359647188,0.000177678264573225
400,Alternative,LL,0.347288555794673,0.346972534140114,0.081826729889613,0.08220111478741
400,Alternative,KLR,0.25028338834599,0.249999581430749,0.0760140239422638,0.0745500846511609
800,Null,LL,0.296686559159261,0.295250456313798,0.00276425454849092,0.00284737023992923
800,Null,KLR,0.250264729903908,0.249973114768022,9.80323008724004e-05,9.46781181007477e-05
800,Alternative,LL,0.300365310227232,0.299547817833837,0.0801469811435961,0.0784946663100215
800,Alternative,KLR,0.250214118906534,0.24996627743575,0.0761617095765747,0.0745056314178742
1200,Null,LL,0.279784955362379,0.280389534553258,0.00144946052725733,0.00145768740712432
1200,Null,KLR,0.250225195059933,0.24992997830866,4.97544853732448e-05,5.02345898637898e-05
1200,Alternative,LL,0.279660381714388,0.28087837580937,0.0782747332232915,0.0775285317473906
1200,Alternative,KLR,0.250173917610946,0.249955525670213,0.0761734300953396,0.0749501841814394
1600,Null,LL,0.273713666489058,0.273277022107019,0.00139758445394766,0.00146271188778547
1600,Null,KLR,0.250181656534287,0.249941310186911,4.40046319653514e-05,4.53071688988497e-05
1600,Alternative,LL,0.273770688450213,0.274512175562332,0.0783973837195457,0.0767821971311469
1600,Alternative,KLR,0.250196729161984,0.249965428222936,0.076385607924431,0.0748981464613572
2000,Null,LL,0.269797471596436,0.269535054715676,0.000957831493684967,0.000968406159653572
2000,Null,KLR,0.250151770014164,0.249966039025361,3.32745478090844e-05,3.29746953407302e-05
2000,Alternative,LL,0.269284809056792,0.26950830127287,0.0776238605193112,0.0764970941550854
2000,Alternative,KLR,0.250143393498114,0.249927166488245,0.0763076497348424,0.0747899881956813
