test_type,test_name,n,block_size,h_label,rejection_rate
DRT,BlockMMD_test,200,7,Null,0.072
DRT,CV_BlockMMD_test,200,7,Null,0.03
DRT,BlockMMD_test,200,7,Alternative,0.476
DRT,CV_BlockMMD_test,200,7,Alternative,0.528
DRT,BlockMMD_test,200,14,Null,0.132
DRT,CV_BlockMMD_test,200,14,Null,0.074
DRT,BlockMMD_test,200,14,Alternative,0.572
DRT,CV_BlockMMD_test,200,14,Alternative,0.598
DRT,BlockMMD_test,200,21,Null,0.152
DRT,CV_BlockMMD_test,200,21,Null,0.156
DRT,BlockMMD_test,200,21,Alternative,0.618
DRT,CV_BlockMMD_test,200,21,Alternative,0.642
DRT,BlockMMD_test,200,28,Null,0.228
DRT,CV_BlockMMD_test,200,28,Null,0.216
DRT,BlockMMD_test,200,28,Alternative,0.64
DRT,CV_BlockMMD_test,200,28,Alternative,0.686
DRT,BlockMMD_test,500,11,Null,0.072
DRT,CV_BlockMMD_test,500,11,Null,0.014
DRT,BlockMMD_test,500,11,Alternative,0.61
DRT,CV_BlockMMD_test,500,11,Alternative,0.59
DRT,BlockMMD_test,500,22,Null,0.072
DRT,CV_BlockMMD_test,500,22,Null,0.028
DRT,BlockMMD_test,500,22,Alternative,0.654
DRT,CV_BlockMMD_test,500,22,Alternative,0.626
DRT,BlockMMD_test,500,33,Null,0.104
DRT,CV_BlockMMD_test,500,33,Null,0.058
DRT,BlockMMD_test,500,33,Alternative,0.676
DRT,CV_BlockMMD_test,500,33,Alternative,0.664
DRT,BlockMMD_test,500,44,Null,0.14
DRT,CV_BlockMMD_test,500,44,Null,0.08
DRT,BlockMMD_test,500,44,Alternative,0.7
DRT,CV_BlockMMD_test,500,44,Alternative,0.7
DRT,BlockMMD_test,1000,15,Null,0.046
DRT,CV_BlockMMD_test,1000,15,Null,0.01
DRT,BlockMMD_test,1000,15,Alternative,0.698
DRT,CV_BlockMMD_test,1000,15,Alternative,0.658
DRT,BlockMMD_test,1000,31,Null,0.062
DRT,CV_BlockMMD_test,1000,31,Null,0.024
DRT,BlockMMD_test,1000,31,Alternative,0.722
DRT,CV_BlockMMD_test,1000,31,Alternative,0.7
DRT,BlockMMD_test,1000,46,Null,0.098
DRT,CV_BlockMMD_test,1000,46,Null,0.044
DRT,BlockMMD_test,1000,46,Alternative,0.756
DRT,CV_BlockMMD_test,1000,46,Alternative,0.746
DRT,BlockMMD_test,1000,62,Null,0.102
DRT,CV_BlockMMD_test,1000,62,Null,0.066
DRT,BlockMMD_test,1000,62,Alternative,0.812
DRT,CV_BlockMMD_test,1000,62,Alternative,0.792
DRT,BlockMMD_test,2000,22,Null,0.058
DRT,CV_BlockMMD_test,2000,22,Null,0.008
DRT,BlockMMD_test,2000,22,Alternative,0.748
DRT,CV_BlockMMD_test,2000,22,Alternative,0.736
DRT,BlockMMD_test,2000,44,Null,0.086
DRT,CV_BlockMMD_test,2000,44,Null,0.01
DRT,BlockMMD_test,2000,44,Alternative,0.822
DRT,CV_BlockMMD_test,2000,44,Alternative,0.816
DRT,BlockMMD_test,2000,66,Null,0.08
DRT,CV_BlockMMD_test,2000,66,Null,0.032
DRT,BlockMMD_test,2000,66,Alternative,0.856
DRT,CV_BlockMMD_test,2000,66,Alternative,0.844
DRT,BlockMMD_test,2000,88,Null,0.076
DRT,CV_BlockMMD_test,2000,88,Null,0.036
DRT,BlockMMD_test,2000,88,Alternative,0.862
DRT,CV_BlockMMD_test,2000,88,Alternative,0.862
