test_type,test_name,n,h_label,bandwidth,rejection_rate
DRT,LinearMMD_test,200,Null,0.1,0.114
DRT,LinearMMD_test,200,Null,0.5,0.004
DRT,LinearMMD_test,200,Null,1,0.052
DRT,LinearMMD_test,200,Null,median,0.056
DRT,LinearMMD_test,200,Null,5,0.05
DRT,LinearMMD_test,200,Null,10,0.056
DRT,CV_LinearMMD_test,200,Null,0.1,
DRT,CV_LinearMMD_test,200,Null,0.5,0.092
DRT,CV_LinearMMD_test,200,Null,1,0.118
DRT,CV_LinearMMD_test,200,Null,median,0.044
DRT,CV_LinearMMD_test,200,Null,5,0.046
DRT,CV_LinearMMD_test,200,Null,10,0.0460000000000001
DRT,LinearMMD_test,200,Alternative,0.1,0.118
DRT,LinearMMD_test,200,Alternative,0.5,0.002
DRT,LinearMMD_test,200,Alternative,1,0.056
DRT,LinearMMD_test,200,Alternative,median,0.06
DRT,LinearMMD_test,200,Alternative,5,0.048
DRT,LinearMMD_test,200,Alternative,10,0.058
DRT,CV_LinearMMD_test,200,Alternative,0.1,
DRT,CV_LinearMMD_test,200,Alternative,0.5,0.0939999999999999
DRT,CV_LinearMMD_test,200,Alternative,1,0.114
DRT,CV_LinearMMD_test,200,Alternative,median,0.04
DRT,CV_LinearMMD_test,200,Alternative,5,0.05
DRT,CV_LinearMMD_test,200,Alternative,10,0.048
DRT,LinearMMD_test,500,Null,0.1,0.004
DRT,LinearMMD_test,500,Null,0.5,0.024
DRT,LinearMMD_test,500,Null,1,0.106
DRT,LinearMMD_test,500,Null,median,0.018
DRT,LinearMMD_test,500,Null,5,0.022
DRT,LinearMMD_test,500,Null,10,0.022
DRT,CV_LinearMMD_test,500,Null,0.1,0.022
DRT,CV_LinearMMD_test,500,Null,0.5,0.1
DRT,CV_LinearMMD_test,500,Null,1,0.112
DRT,CV_LinearMMD_test,500,Null,median,0.018
DRT,CV_LinearMMD_test,500,Null,5,0.016
DRT,CV_LinearMMD_test,500,Null,10,0.0180000000000001
DRT,LinearMMD_test,500,Alternative,0.1,0.006
DRT,LinearMMD_test,500,Alternative,0.5,0.02
DRT,LinearMMD_test,500,Alternative,1,0.0959999999999999
DRT,LinearMMD_test,500,Alternative,median,0.018
DRT,LinearMMD_test,500,Alternative,5,0.022
DRT,LinearMMD_test,500,Alternative,10,0.022
DRT,CV_LinearMMD_test,500,Alternative,0.1,0.016
DRT,CV_LinearMMD_test,500,Alternative,0.5,0.104
DRT,CV_LinearMMD_test,500,Alternative,1,0.114
DRT,CV_LinearMMD_test,500,Alternative,median,0.022
DRT,CV_LinearMMD_test,500,Alternative,5,0.016
DRT,CV_LinearMMD_test,500,Alternative,10,0.0180000000000001
DRT,LinearMMD_test,1000,Null,0.1,0
DRT,LinearMMD_test,1000,Null,0.5,0.0500000000000001
DRT,LinearMMD_test,1000,Null,1,0.076
DRT,LinearMMD_test,1000,Null,median,0.00799999999999999
DRT,LinearMMD_test,1000,Null,5,0.004
DRT,LinearMMD_test,1000,Null,10,0.012
DRT,CV_LinearMMD_test,1000,Null,0.1,0.00799999999999999
DRT,CV_LinearMMD_test,1000,Null,0.5,0.13
DRT,CV_LinearMMD_test,1000,Null,1,0.0980000000000001
DRT,CV_LinearMMD_test,1000,Null,median,0.012
DRT,CV_LinearMMD_test,1000,Null,5,0.01
DRT,CV_LinearMMD_test,1000,Null,10,0.012
DRT,LinearMMD_test,1000,Alternative,0.1,0
DRT,LinearMMD_test,1000,Alternative,0.5,0.0460000000000001
DRT,LinearMMD_test,1000,Alternative,1,0.072
DRT,LinearMMD_test,1000,Alternative,median,0.01
DRT,LinearMMD_test,1000,Alternative,5,0.006
DRT,LinearMMD_test,1000,Alternative,10,0.012
DRT,CV_LinearMMD_test,1000,Alternative,0.1,0.012
DRT,CV_LinearMMD_test,1000,Alternative,0.5,0.14
DRT,CV_LinearMMD_test,1000,Alternative,1,0.1
DRT,CV_LinearMMD_test,1000,Alternative,median,0.014
DRT,CV_LinearMMD_test,1000,Alternative,5,0.012
DRT,CV_LinearMMD_test,1000,Alternative,10,0.012
DRT,LinearMMD_test,2000,Null,0.1,0
DRT,LinearMMD_test,2000,Null,0.5,0.042
DRT,LinearMMD_test,2000,Null,1,0.0660000000000001
DRT,LinearMMD_test,2000,Null,median,0.00799999999999999
DRT,LinearMMD_test,2000,Null,5,0.006
DRT,LinearMMD_test,2000,Null,10,0.006
DRT,CV_LinearMMD_test,2000,Null,0.1,0.018
DRT,CV_LinearMMD_test,2000,Null,0.5,0.136
DRT,CV_LinearMMD_test,2000,Null,1,0.06
DRT,CV_LinearMMD_test,2000,Null,median,0.00799999999999999
DRT,CV_LinearMMD_test,2000,Null,5,0.004
DRT,CV_LinearMMD_test,2000,Null,10,0.002
DRT,LinearMMD_test,2000,Alternative,0.1,0
DRT,LinearMMD_test,2000,Alternative,0.5,0.032
DRT,LinearMMD_test,2000,Alternative,1,0.06
DRT,LinearMMD_test,2000,Alternative,median,0.004
DRT,LinearMMD_test,2000,Alternative,5,0.006
DRT,LinearMMD_test,2000,Alternative,10,0.006
DRT,CV_LinearMMD_test,2000,Alternative,0.1,0.016
DRT,CV_LinearMMD_test,2000,Alternative,0.5,0.134
DRT,CV_LinearMMD_test,2000,Alternative,1,0.06
DRT,CV_LinearMMD_test,2000,Alternative,median,0.00799999999999999
DRT,CV_LinearMMD_test,2000,Alternative,5,0.01
DRT,CV_LinearMMD_test,2000,Alternative,10,0.002
