dataset,n,mean_error,sd_error,min_error,max_error,q25,q75
Low-dim (Diamonds),200,0.46075,0.0554202265887782,0.275,0.575,0.425,0.5
Low-dim (Diamonds),400,0.4764375,0.0424719065644836,0.36875,0.6,0.45,0.5015625
Low-dim (Diamonds),800,0.4773125,0.030442924013221,0.403125,0.54375,0.45625,0.496875
Low-dim (Diamonds),1200,0.4850625,0.022307001711048,0.433333333333333,0.54375,0.470833333333333,0.496354166666667
Low-dim (Diamonds),1600,0.487515625,0.0191488705569795,0.4453125,0.528125,0.474609375,0.500390625
Low-dim (Diamonds),2000,0.4879625,0.0178072371722025,0.44375,0.5475,0.4775,0.5
High-dim (Superconductivity),200,0.319375,0.0518403422621667,0.1875,0.45,0.2875,0.353125
High-dim (Superconductivity),400,0.3915625,0.0339476419310203,0.30625,0.4875,0.3734375,0.4140625
High-dim (Superconductivity),800,0.427125,0.0269404740384081,0.35,0.484375,0.4125,0.44375
High-dim (Superconductivity),1200,0.44,0.0247798245066701,0.389583333333333,0.497916666666667,0.422916666666667,0.4546875
High-dim (Superconductivity),1600,0.449390625,0.0189109451345162,0.40625,0.5125,0.438671875,0.4609375
High-dim (Superconductivity),2000,0.4547875,0.0160865468213773,0.42125,0.49875,0.44375,0.4653125
