n,method,power_alg1,power_oracle,power_loss,se_alg1,se_oracle
200,RCIT,0.622,0.586,-0.036,0.0217065508245183,0.0220494979698279
200,GCM,0.394,0.412,0.018,0.0218742993016892,0.0220336779937409
200,PCM,0.216,0.18,-0.036,0.018421909061412,0.0171985924763142
400,RCIT,0.84,0.798,-0.0419999999999999,0.0164115409805024,0.0179732600312883
400,GCM,0.638,0.552,-0.086,0.0215136625275824,0.0222616972922701
400,PCM,0.434,0.294,-0.14,0.022187215803029,0.0203950954849366
800,RCIT,0.958,0.916,-0.0419999999999999,0.00897960280486092,0.0124175840156438
800,GCM,0.874,0.798,-0.076,0.0148556177507876,0.0179732600312883
800,PCM,0.768,0.474,-0.294,0.018896193591952,0.0223527916509142
1600,RCIT,0.974,0.966,-0.00800000000000001,0.00712386826085351,0.00811293037555217
1600,GCM,0.956,0.924,-0.0319999999999999,0.00918131761711644,0.0118629447827188
1600,PCM,0.978,0.724,-0.254,0.00656644778194009,0.0200112192980736
3200,RCIT,0.994,0.99,-0.004,0.00345715255775837,0.00445417549707209
3200,GCM,0.982,0.966,-0.016,0.00595170947639271,0.00811293037555217
3200,PCM,0.996,0.942,-0.0540000000000001,0.00282559160811886,0.0104637938609248
