"test_type","test_name","n","h_label","rejection_rate"
"DRT","LinearMMD_test",200,"Null",0.052
"DRT","CV_LinearMMD_test",200,"Null",0.118
"DRT","BlockMMD_test",200,"Null",0.114
"DRT","bootstrap_MMD_test",200,"Null",0.154
"DRT","CLF_test",200,"Null",0.002
"DRT","CV_CLF_test",200,"Null",0.008
"DRT","CP_test",200,"Null",0.01
"DRT","debiased_test",200,"Null",0.014
"CIT","RCIT_test",200,"Null",0.166
"CIT","PCM_test",200,"Null",0.108
"CIT","GCM_test",200,"Null",0.042
"DRT","LinearMMD_test",200,"Alternative",0.056
"DRT","CV_LinearMMD_test",200,"Alternative",0.114
"DRT","BlockMMD_test",200,"Alternative",0.12
"DRT","bootstrap_MMD_test",200,"Alternative",0.17
"DRT","CLF_test",200,"Alternative",0.006
"DRT","CV_CLF_test",200,"Alternative",0.014
"DRT","CP_test",200,"Alternative",0.074
"DRT","debiased_test",200,"Alternative",0.092
"CIT","RCIT_test",200,"Alternative",0.24
"CIT","PCM_test",200,"Alternative",0.15
"CIT","GCM_test",200,"Alternative",0.138
"DRT","LinearMMD_test",500,"Null",0.106
"DRT","CV_LinearMMD_test",500,"Null",0.112
"DRT","BlockMMD_test",500,"Null",0.072
"DRT","bootstrap_MMD_test",500,"Null",0.152
"DRT","CLF_test",500,"Null",0.004
"DRT","CV_CLF_test",500,"Null",0.008
"DRT","CP_test",500,"Null",0.038
"DRT","debiased_test",500,"Null",0.032
"CIT","RCIT_test",500,"Null",0.056
"CIT","PCM_test",500,"Null",0.024
"CIT","GCM_test",500,"Null",0.032
"DRT","LinearMMD_test",500,"Alternative",0.096
"DRT","CV_LinearMMD_test",500,"Alternative",0.114
"DRT","BlockMMD_test",500,"Alternative",0.07
"DRT","bootstrap_MMD_test",500,"Alternative",0.176
"DRT","CLF_test",500,"Alternative",0.016
"DRT","CV_CLF_test",500,"Alternative",0.038
"DRT","CP_test",500,"Alternative",0.234
"DRT","debiased_test",500,"Alternative",0.296
"CIT","RCIT_test",500,"Alternative",0.228
"CIT","PCM_test",500,"Alternative",0.094
"CIT","GCM_test",500,"Alternative",0.306
"DRT","LinearMMD_test",1000,"Null",0.076
"DRT","CV_LinearMMD_test",1000,"Null",0.098
"DRT","BlockMMD_test",1000,"Null",0.028
"DRT","bootstrap_MMD_test",1000,"Null",0.124
"DRT","CLF_test",1000,"Null",0.002
"DRT","CV_CLF_test",1000,"Null",0.004
"DRT","CP_test",1000,"Null",0.03
"DRT","debiased_test",1000,"Null",0.046
"CIT","RCIT_test",1000,"Null",0.064
"CIT","PCM_test",1000,"Null",0.014
"CIT","GCM_test",1000,"Null",0.044
"DRT","LinearMMD_test",1000,"Alternative",0.072
"DRT","CV_LinearMMD_test",1000,"Alternative",0.1
"DRT","BlockMMD_test",1000,"Alternative",0.038
"DRT","bootstrap_MMD_test",1000,"Alternative",0.148
"DRT","CLF_test",1000,"Alternative",0.028
"DRT","CV_CLF_test",1000,"Alternative",0.072
"DRT","CP_test",1000,"Alternative",0.416
"DRT","debiased_test",1000,"Alternative",0.514
"CIT","RCIT_test",1000,"Alternative",0.394
"CIT","PCM_test",1000,"Alternative",0.096
"CIT","GCM_test",1000,"Alternative",0.478
"DRT","LinearMMD_test",2000,"Null",0.066
"DRT","CV_LinearMMD_test",2000,"Null",0.06
"DRT","BlockMMD_test",2000,"Null",0.016
"DRT","bootstrap_MMD_test",2000,"Null",0.102
"DRT","CLF_test",2000,"Null",0.008
"DRT","CV_CLF_test",2000,"Null",0.01
"DRT","CP_test",2000,"Null",0.03
"DRT","debiased_test",2000,"Null",0.06
"CIT","RCIT_test",2000,"Null",0.048
"CIT","PCM_test",2000,"Null",0.004
"CIT","GCM_test",2000,"Null",0.044
"DRT","LinearMMD_test",2000,"Alternative",0.06
"DRT","CV_LinearMMD_test",2000,"Alternative",0.06
"DRT","BlockMMD_test",2000,"Alternative",0.024
"DRT","bootstrap_MMD_test",2000,"Alternative",0.148
"DRT","CLF_test",2000,"Alternative",0.068
"DRT","CV_CLF_test",2000,"Alternative",0.158
"DRT","CP_test",2000,"Alternative",0.688
"DRT","debiased_test",2000,"Alternative",0.674
"CIT","RCIT_test",2000,"Alternative",0.61
"CIT","PCM_test",2000,"Alternative",0.12
"CIT","GCM_test",2000,"Alternative",0.702
"CIT","WGSC_test",200,"Null",0.076
"CIT","WGSC_test",200,"Alternative",0.082
"CIT","WGSC_test",500,"Null",0.05
"CIT","WGSC_test",500,"Alternative",0.048
"CIT","WGSC_test",1000,"Null",0.056
"CIT","WGSC_test",1000,"Alternative",0.054
"CIT","WGSC_test",2000,"Null",0.016
"CIT","WGSC_test",2000,"Alternative",0.024
"DRT","CV_BlockMMD_test",200,"Null",0.032
"DRT","CV_BlockMMD_test",200,"Alternative",0.036
"DRT","CV_BlockMMD_test",500,"Null",0.026
"DRT","CV_BlockMMD_test",500,"Alternative",0.026
"DRT","CV_BlockMMD_test",1000,"Null",0.01
"DRT","CV_BlockMMD_test",1000,"Alternative",0.018
"DRT","CV_BlockMMD_test",2000,"Null",0.01
"DRT","CV_BlockMMD_test",2000,"Alternative",0.012
"DRT","CV_BlockMMD_test",200,"Null",0.032
"DRT","CV_BlockMMD_test",200,"Alternative",0.036
"DRT","CV_BlockMMD_test",500,"Null",0.026
"DRT","CV_BlockMMD_test",500,"Alternative",0.026
"DRT","CV_BlockMMD_test",1000,"Null",0.01
"DRT","CV_BlockMMD_test",1000,"Alternative",0.018
"DRT","CV_BlockMMD_test",2000,"Null",0.01
"DRT","CV_BlockMMD_test",2000,"Alternative",0.012
