test_type,test_name,n,h_label,rejection_rate,avg_time_sec
DRT,LinearMMD_test,200,Null,0.052,0.00564
DRT,CV_LinearMMD_test,200,Null,0.118,0.01022
DRT,CLF_test,200,Null,0.002,0.0083
DRT,CV_CLF_test,200,Null,0.008,0.01664
DRT,CP_test,200,Null,0.01,0.00698000000000001
DRT,debiased_test,200,Null,0.014,0.074
DRT,BlockMMD_test,200,Null,0.114,0.01148
DRT,CV_BlockMMD_test,200,Null,0.032,0.0226
DRT,bootstrap_MMD_test,200,Null,0.138,0.20198
CIT,RCIT_test,200,Null,0.166,0.0171999999999999
CIT,PCM_test,200,Null,0.108,0.08232
CIT,GCM_test,200,Null,0.042,0.04802
CIT,WGSC_test,200,Null,0.048,6.67008
DRT,LinearMMD_test,200,Alternative,0.056,0.00664000000000215
DRT,CV_LinearMMD_test,200,Alternative,0.114,0.0118799999999983
DRT,CLF_test,200,Alternative,0.006,0.00966000000000167
DRT,CV_CLF_test,200,Alternative,0.014,0.0194799999999996
DRT,CP_test,200,Alternative,0.074,0.00799999999999909
DRT,debiased_test,200,Alternative,0.092,0.0844000000000015
DRT,BlockMMD_test,200,Alternative,0.12,0.011380000000001
DRT,CV_BlockMMD_test,200,Alternative,0.036,0.0232800000000016
DRT,bootstrap_MMD_test,200,Alternative,0.15,0.22928
CIT,RCIT_test,200,Alternative,0.24,0.0205600000000022
CIT,PCM_test,200,Alternative,0.15,0.102860000000001
CIT,GCM_test,200,Alternative,0.138,0.0600600000000013
CIT,WGSC_test,200,Alternative,0.054,7.17128
DRT,LinearMMD_test,500,Null,0.106,0.0114399999999969
DRT,CV_LinearMMD_test,500,Null,0.112,0.0229999999999927
DRT,CLF_test,500,Null,0.004,0.0169399999999987
DRT,CV_CLF_test,500,Null,0.008,0.0356200000000008
DRT,CP_test,500,Null,0.038,0.0175599999999868
DRT,debiased_test,500,Null,0.032,0.388939999999993
DRT,BlockMMD_test,500,Null,0.072,0.0376000000000076
DRT,CV_BlockMMD_test,500,Null,0.026,0.0779199999999946
DRT,bootstrap_MMD_test,500,Null,0.098,1.15202
CIT,RCIT_test,500,Null,0.056,0.0363799999999937
CIT,PCM_test,500,Null,0.024,0.207420000000009
CIT,GCM_test,500,Null,0.032,0.155899999999998
CIT,WGSC_test,500,Null,0.032,10.42994
DRT,LinearMMD_test,500,Alternative,0.096,0.00956000000000495
DRT,CV_LinearMMD_test,500,Alternative,0.114,0.018940000000006
DRT,CLF_test,500,Alternative,0.016,0.0148399999999965
DRT,CV_CLF_test,500,Alternative,0.038,0.0287800000000025
DRT,CP_test,500,Alternative,0.234,0.0146999999999971
DRT,debiased_test,500,Alternative,0.296,0.337679999999997
DRT,BlockMMD_test,500,Alternative,0.07,0.0393199999999997
DRT,CV_BlockMMD_test,500,Alternative,0.026,0.0802599999999875
DRT,bootstrap_MMD_test,500,Alternative,0.108,1.28208000000001
CIT,RCIT_test,500,Alternative,0.228,0.0371000000000131
CIT,PCM_test,500,Alternative,0.094,0.204779999999995
CIT,GCM_test,500,Alternative,0.306,0.154080000000009
CIT,WGSC_test,500,Alternative,0.048,10.56174
DRT,LinearMMD_test,1000,Null,0.076,0.015140000000014
DRT,CV_LinearMMD_test,1000,Null,0.098,0.0301599999999744
DRT,CLF_test,1000,Null,0.002,0.0214400000000387
DRT,CV_CLF_test,1000,Null,0.004,0.0431599999999889
DRT,CP_test,1000,Null,0.03,0.0267800000000207
DRT,debiased_test,1000,Null,0.046,1.20975999999996
DRT,BlockMMD_test,1000,Null,0.028,0.110960000000028
DRT,CV_BlockMMD_test,1000,Null,0.01,0.224380000000041
DRT,bootstrap_MMD_test,1000,Null,0.098,5.52056
CIT,RCIT_test,1000,Null,0.064,0.0541000000000058
CIT,PCM_test,1000,Null,0.014,0.464040000000023
CIT,GCM_test,1000,Null,0.044,0.41893999999998
CIT,WGSC_test,1000,Null,0.066,11.74238
DRT,LinearMMD_test,1000,Alternative,0.072,0.0194199999999691
DRT,CV_LinearMMD_test,1000,Alternative,0.1,0.0383800000000119
DRT,CLF_test,1000,Alternative,0.028,0.0257600000000239
DRT,CV_CLF_test,1000,Alternative,0.072,0.052
DRT,CP_test,1000,Alternative,0.416,0.0343000000000029
DRT,debiased_test,1000,Alternative,0.514,1.50802
DRT,BlockMMD_test,1000,Alternative,0.038,0.0792199999999939
DRT,CV_BlockMMD_test,1000,Alternative,0.018,0.159279999999999
DRT,bootstrap_MMD_test,1000,Alternative,0.116,5.08995999999998
CIT,RCIT_test,1000,Alternative,0.394,0.0574599999999482
CIT,PCM_test,1000,Alternative,0.096,0.454339999999938
CIT,GCM_test,1000,Alternative,0.478,0.418380000000034
CIT,WGSC_test,1000,Alternative,0.06,11.90324
DRT,LinearMMD_test,2000,Null,0.066,0.0266999999999971
DRT,CV_LinearMMD_test,2000,Null,0.06,0.0533999999999942
DRT,CLF_test,2000,Null,0.008,0.0347200000000885
DRT,CV_CLF_test,2000,Null,0.01,0.0704999999999855
DRT,CP_test,2000,Null,0.03,0.0553599999999715
DRT,debiased_test,2000,Null,0.06,4.56711999999997
DRT,BlockMMD_test,2000,Null,0.016,0.210159999999858
DRT,CV_BlockMMD_test,2000,Null,0.01,0.437639999999941
DRT,bootstrap_MMD_test,2000,Null,0.064,22.5457200000001
CIT,RCIT_test,2000,Null,0.048,0.0944199999999983
CIT,PCM_test,2000,Null,0.004,1.16263999999994
CIT,GCM_test,2000,Null,0.044,1.12735999999999
CIT,WGSC_test,2000,Null,0.026,12.3517
DRT,LinearMMD_test,2000,Alternative,0.06,0.028300000000032
DRT,CV_LinearMMD_test,2000,Alternative,0.06,0.0558199999999779
DRT,CLF_test,2000,Alternative,0.068,0.0372599999999366
DRT,CV_CLF_test,2000,Alternative,0.158,0.0748600000000006
DRT,CP_test,2000,Alternative,0.688,0.0591399999999121
DRT,debiased_test,2000,Alternative,0.674,4.86752000000005
DRT,BlockMMD_test,2000,Alternative,0.024,0.226920000000013
DRT,CV_BlockMMD_test,2000,Alternative,0.012,0.459740000000005
DRT,bootstrap_MMD_test,2000,Alternative,0.108,23.13368
CIT,RCIT_test,2000,Alternative,0.61,0.101039999999834
CIT,PCM_test,2000,Alternative,0.12,1.15327999999994
CIT,GCM_test,2000,Alternative,0.702,1.0729199999999
CIT,WGSC_test,2000,Alternative,0.03,12.6131199999999
