test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.002
DRT,CV_LinearMMD_test,200,Null,0.036
DRT,CLF_test,200,Null,0.028
DRT,CV_CLF_test,200,Null,0.076
DRT,CP_test,200,Null,0.126
DRT,debiased_test,200,Null,0.002
DRT,BlockMMD_test,200,Null,0.024
DRT,CV_BlockMMD_test,200,Null,0.032
DRT,bootstrap_MMD_test,200,Null,0.18
CIT,RCIT_test,200,Null,0.084
CIT,PCM_test,200,Null,0.108
CIT,GCM_test,200,Null,0.014
DRT,LinearMMD_test,200,Alternative,0.002
DRT,CV_LinearMMD_test,200,Alternative,0.032
DRT,CLF_test,200,Alternative,0.202
DRT,CV_CLF_test,200,Alternative,0.466
DRT,CP_test,200,Alternative,0.378
DRT,debiased_test,200,Alternative,0.008
DRT,BlockMMD_test,200,Alternative,0.02
DRT,CV_BlockMMD_test,200,Alternative,0.032
DRT,bootstrap_MMD_test,200,Alternative,0.18
CIT,RCIT_test,200,Alternative,0.092
CIT,PCM_test,200,Alternative,0.118
CIT,GCM_test,200,Alternative,0.012
DRT,LinearMMD_test,500,Null,0.004
DRT,CV_LinearMMD_test,500,Null,0.06
DRT,CLF_test,500,Null,0.056
DRT,CV_CLF_test,500,Null,0.074
DRT,CP_test,500,Null,0.146
DRT,debiased_test,500,Null,0
DRT,BlockMMD_test,500,Null,0.06
DRT,CV_BlockMMD_test,500,Null,0.092
DRT,bootstrap_MMD_test,500,Null,0.324
CIT,RCIT_test,500,Null,0.088
CIT,PCM_test,500,Null,0.078
CIT,GCM_test,500,Null,0.012
DRT,LinearMMD_test,500,Alternative,0.004
DRT,CV_LinearMMD_test,500,Alternative,0.066
DRT,CLF_test,500,Alternative,0.48
DRT,CV_CLF_test,500,Alternative,0.802
DRT,CP_test,500,Alternative,0.506
DRT,debiased_test,500,Alternative,0.044
DRT,BlockMMD_test,500,Alternative,0.064
DRT,CV_BlockMMD_test,500,Alternative,0.082
DRT,bootstrap_MMD_test,500,Alternative,0.33
CIT,RCIT_test,500,Alternative,0.164
CIT,PCM_test,500,Alternative,0.112
CIT,GCM_test,500,Alternative,0.01
DRT,LinearMMD_test,1000,Null,0.01
DRT,CV_LinearMMD_test,1000,Null,0.076
DRT,CLF_test,1000,Null,0.036
DRT,CV_CLF_test,1000,Null,0.072
DRT,CP_test,1000,Null,0.176
DRT,debiased_test,1000,Null,0.002
DRT,BlockMMD_test,1000,Null,0.132
DRT,CV_BlockMMD_test,1000,Null,0.14
DRT,bootstrap_MMD_test,1000,Null,0.598
CIT,RCIT_test,1000,Null,0.092
CIT,PCM_test,1000,Null,0.104
CIT,GCM_test,1000,Null,0.028
DRT,LinearMMD_test,1000,Alternative,0.01
DRT,CV_LinearMMD_test,1000,Alternative,0.068
DRT,CLF_test,1000,Alternative,0.744
DRT,CV_CLF_test,1000,Alternative,0.964
DRT,CP_test,1000,Alternative,0.618
DRT,debiased_test,1000,Alternative,0.09
DRT,BlockMMD_test,1000,Alternative,0.134
DRT,CV_BlockMMD_test,1000,Alternative,0.162
DRT,bootstrap_MMD_test,1000,Alternative,0.628
CIT,RCIT_test,1000,Alternative,0.18
CIT,PCM_test,1000,Alternative,0.1
CIT,GCM_test,1000,Alternative,0.026
DRT,LinearMMD_test,2000,Null,0.02
DRT,CV_LinearMMD_test,2000,Null,0.106
DRT,CLF_test,2000,Null,0.046
DRT,CV_CLF_test,2000,Null,0.1
DRT,CP_test,2000,Null,0.19
DRT,debiased_test,2000,Null,0.004
DRT,BlockMMD_test,2000,Null,0.184
DRT,CV_BlockMMD_test,2000,Null,0.312
DRT,bootstrap_MMD_test,2000,Null,0.954
CIT,RCIT_test,2000,Null,0.06
CIT,PCM_test,2000,Null,0.096
CIT,GCM_test,2000,Null,0.014
DRT,LinearMMD_test,2000,Alternative,0.022
DRT,CV_LinearMMD_test,2000,Alternative,0.114
DRT,CLF_test,2000,Alternative,0.826
DRT,CV_CLF_test,2000,Alternative,0.982
DRT,CP_test,2000,Alternative,0.668
DRT,debiased_test,2000,Alternative,0.12
DRT,BlockMMD_test,2000,Alternative,0.186
DRT,CV_BlockMMD_test,2000,Alternative,0.318
DRT,bootstrap_MMD_test,2000,Alternative,0.958
CIT,RCIT_test,2000,Alternative,0.334
CIT,PCM_test,2000,Alternative,0.152
CIT,GCM_test,2000,Alternative,0.012
