scenario,test_type,test_name,n,h_label,rejection_rate
S5U,DRT,LinearMMD_test,200,Null,0.328
S5U,DRT,CV_LinearMMD_test,200,Null,0.532
S5U,DRT,CLF_test,200,Null,0
S5U,DRT,CV_CLF_test,200,Null,0
S5U,DRT,CP_test,200,Null,0.098
S5U,DRT,debiased_test,200,Null,0.03
S5U,DRT,BlockMMD_test,200,Null,0.386
S5U,DRT,CV_BlockMMD_test,200,Null,0.272
S5U,DRT,bootstrap_MMD_test,200,Null,0.548
S5U,CIT,RCIT_test,200,Null,0.108
S5U,CIT,PCM_test,200,Null,0.006
S5U,CIT,GCM_test,200,Null,0.0500000000000001
S5U,CIT,WGSC_test,200,Null,0.15
S5U,DRT,LinearMMD_test,200,Alternative,0.384
S5U,DRT,CV_LinearMMD_test,200,Alternative,0.608
S5U,DRT,CLF_test,200,Alternative,0.002
S5U,DRT,CV_CLF_test,200,Alternative,0.00799999999999999
S5U,DRT,CP_test,200,Alternative,0.224
S5U,DRT,debiased_test,200,Alternative,0.1
S5U,DRT,BlockMMD_test,200,Alternative,0.422
S5U,DRT,CV_BlockMMD_test,200,Alternative,0.334
S5U,DRT,bootstrap_MMD_test,200,Alternative,0.61
S5U,CIT,RCIT_test,200,Alternative,0.304
S5U,CIT,PCM_test,200,Alternative,0.00799999999999999
S5U,CIT,GCM_test,200,Alternative,0.338
S5U,CIT,WGSC_test,200,Alternative,0.162
S5U,DRT,LinearMMD_test,500,Null,0.322
S5U,DRT,CV_LinearMMD_test,500,Null,0.484
S5U,DRT,CLF_test,500,Null,0
S5U,DRT,CV_CLF_test,500,Null,0
S5U,DRT,CP_test,500,Null,0.082
S5U,DRT,debiased_test,500,Null,0.032
S5U,DRT,BlockMMD_test,500,Null,0.438
S5U,DRT,CV_BlockMMD_test,500,Null,0.31
S5U,DRT,bootstrap_MMD_test,500,Null,0.642
S5U,CIT,RCIT_test,500,Null,0.062
S5U,CIT,PCM_test,500,Null,0.026
S5U,CIT,GCM_test,500,Null,0.038
S5U,CIT,WGSC_test,500,Null,0.162
S5U,DRT,LinearMMD_test,500,Alternative,0.382
S5U,DRT,CV_LinearMMD_test,500,Alternative,0.582
S5U,DRT,CLF_test,500,Alternative,0.002
S5U,DRT,CV_CLF_test,500,Alternative,0.002
S5U,DRT,CP_test,500,Alternative,0.232
S5U,DRT,debiased_test,500,Alternative,0.232
S5U,DRT,BlockMMD_test,500,Alternative,0.506
S5U,DRT,CV_BlockMMD_test,500,Alternative,0.44
S5U,DRT,bootstrap_MMD_test,500,Alternative,0.73
S5U,CIT,RCIT_test,500,Alternative,0.59
S5U,CIT,PCM_test,500,Alternative,0.058
S5U,CIT,GCM_test,500,Alternative,0.728
S5U,CIT,WGSC_test,500,Alternative,0.184
S5U,DRT,LinearMMD_test,1000,Null,0.326
S5U,DRT,CV_LinearMMD_test,1000,Null,0.494
S5U,DRT,CLF_test,1000,Null,0
S5U,DRT,CV_CLF_test,1000,Null,0
S5U,DRT,CP_test,1000,Null,0.048
S5U,DRT,debiased_test,1000,Null,0.04
S5U,DRT,BlockMMD_test,1000,Null,0.472
S5U,DRT,CV_BlockMMD_test,1000,Null,0.464
S5U,DRT,bootstrap_MMD_test,1000,Null,0.744
S5U,CIT,RCIT_test,1000,Null,0.09
S5U,CIT,PCM_test,1000,Null,0.032
S5U,CIT,GCM_test,1000,Null,0.062
S5U,CIT,WGSC_test,1000,Null,0.108
S5U,DRT,LinearMMD_test,1000,Alternative,0.428
S5U,DRT,CV_LinearMMD_test,1000,Alternative,0.614
S5U,DRT,CLF_test,1000,Alternative,0.002
S5U,DRT,CV_CLF_test,1000,Alternative,0.006
S5U,DRT,CP_test,1000,Alternative,0.214
S5U,DRT,debiased_test,1000,Alternative,0.308
S5U,DRT,BlockMMD_test,1000,Alternative,0.582
S5U,DRT,CV_BlockMMD_test,1000,Alternative,0.608
S5U,DRT,bootstrap_MMD_test,1000,Alternative,0.806
S5U,CIT,RCIT_test,1000,Alternative,0.852
S5U,CIT,PCM_test,1000,Alternative,0.152
S5U,CIT,GCM_test,1000,Alternative,0.954
S5U,CIT,WGSC_test,1000,Alternative,0.146
S5U,DRT,LinearMMD_test,2000,Null,0.352
S5U,DRT,CV_LinearMMD_test,2000,Null,0.5
S5U,DRT,CLF_test,2000,Null,0
S5U,DRT,CV_CLF_test,2000,Null,0.002
S5U,DRT,CP_test,2000,Null,0.03
S5U,DRT,debiased_test,2000,Null,0.04
S5U,DRT,BlockMMD_test,2000,Null,0.554
S5U,DRT,CV_BlockMMD_test,2000,Null,0.6
S5U,DRT,bootstrap_MMD_test,2000,Null,0.834
S5U,CIT,RCIT_test,2000,Null,0.05
S5U,CIT,PCM_test,2000,Null,0.034
S5U,CIT,GCM_test,2000,Null,0.0820000000000001
S5U,CIT,WGSC_test,2000,Null,0.104
S5U,DRT,LinearMMD_test,2000,Alternative,0.44
S5U,DRT,CV_LinearMMD_test,2000,Alternative,0.662
S5U,DRT,CLF_test,2000,Alternative,0.002
S5U,DRT,CV_CLF_test,2000,Alternative,0.002
S5U,DRT,CP_test,2000,Alternative,0.192
S5U,DRT,debiased_test,2000,Alternative,0.432
S5U,DRT,BlockMMD_test,2000,Alternative,0.67
S5U,DRT,CV_BlockMMD_test,2000,Alternative,0.72
S5U,DRT,bootstrap_MMD_test,2000,Alternative,0.904
S5U,CIT,RCIT_test,2000,Alternative,0.954
S5U,CIT,PCM_test,2000,Alternative,0.306
S5U,CIT,GCM_test,2000,Alternative,0.996
S5U,CIT,WGSC_test,2000,Alternative,0.14
